,subjID,experimentName,versionName,sequenceName,windowWidth,windowHeight,screenWidth,screenHeight,startDate,startTime,pracTries,trialNum,scene,object,side,gabor,objectCategory,objSceneSemCong,scale,image,presentationSize,keyPress,accuracy,RT,ratingTrialNum,rating,thisRatingTrialFile,experimentTime,totalTime,age,gender
0,824465,Gabor-Discrimination,v2,jsons/s9_even.json,1920,929,1920,1080,2-6-2024,8-51-43,1,0,k2,eraser,R,H,classroom,0,misscaled,k2_large_eraser_R_H.png,large,c,1,10018,0,7,k2_large_eraser_R_H.png,210858,387181,50,Man
1,824465,Gabor-Discrimination,v2,jsons/s9_even.json,1920,929,1920,1080,2-6-2024,8-51-43,1,1,k10,laptop,R,H,classroom,0,scaled,k10_large_laptop_R_H.png,large,c,1,1082,1,4,k10_large_laptop_R_H.png,210858,387181,50,Man
2,824465,Gabor-Discrimination,v2,jsons/s9_even.json,1920,929,1920,1080,2-6-2024,8-51-43,1,2,c8,toaster,R,H,kitchen,0,scaled,c8_large_toaster_R_H.png,large,c,1,1179,2,6,c8_large_toaster_R_H.png,210858,387181,50,Man
3,824465,Gabor-Discrimination,v2,jsons/s9_even.json,1920,929,1920,1080,2-6-2024,8-51-43,1,3,c10,clipboard,L,V,classroom,1,scaled,c10_large_clipboard_L_V.png,large,m,1,1564,3,4,c10_large_clipboard_L_V.png,210858,387181,50,Man
4,824465,Gabor-Discrimination,v2,jsons/s9_even.json,1920,929,1920,1080,2-6-2024,8-51-43,1,4,c6,binderclip,L,H,classroom,1,misscaled,c6_large_binderclip_L_H.png,large,c,1,1713,4,7,c6_large_binderclip_L_H.png,210858,387181,50,Man
5,824465,Gabor-Discrimination,v2,jsons/s9_even.json,1920,929,1920,1080,2-6-2024,8-51-43,1,5,c4,pot,L,V,kitchen,0,scaled,c4_large_pot_L_V.png,large,m,1,1090,5,5,c4_large_pot_L_V.png,210858,387181,50,Man
6,824465,Gabor-Discrimination,v2,jsons/s9_even.json,1920,929,1920,1080,2-6-2024,8-51-43,1,6,k8,saltshaker,R,V,kitchen,1,misscaled,k8_large_saltshaker_R_V.png,large,m,1,1130,6,6,k8_large_saltshaker_R_V.png,210858,387181,50,Man
7,824465,Gabor-Discrimination,v2,jsons/s9_even.json,1920,929,1920,1080,2-6-2024,8-51-43,1,7,k4,sponge,R,V,kitchen,1,misscaled,k4_large_sponge_R_V.png,large,m,1,971,7,6,k4_large_sponge_R_V.png,210858,387181,50,Man
8,824465,Gabor-Discrimination,v2,jsons/s9_even.json,1920,929,1920,1080,2-6-2024,8-51-43,1,8,k0,spoon,L,H,kitchen,1,misscaled,k0_large_spoon_L_H.png,large,c,1,1174,8,5,k0_large_spoon_L_H.png,210858,387181,50,Man
9,824465,Gabor-Discrimination,v2,jsons/s9_even.json,1920,929,1920,1080,2-6-2024,8-51-43,1,9,c2,notebook,R,V,classroom,1,scaled,c2_large_notebook_R_V.png,large,m,1,1290,9,5,c2_large_notebook_R_V.png,210858,387181,50,Man
10,824465,Gabor-Discrimination,v2,jsons/s9_even.json,1920,929,1920,1080,2-6-2024,8-51-43,1,10,k6,flashdrive,L,V,classroom,0,misscaled,k6_large_flashdrive_L_V.png,large,m,1,1113,10,7,k6_large_flashdrive_L_V.png,210858,387181,50,Man
11,824465,Gabor-Discrimination,v2,jsons/s9_even.json,1920,929,1920,1080,2-6-2024,8-51-43,1,11,c0,kettle,L,H,kitchen,0,scaled,c0_large_kettle_L_H.png,large,c,1,934,11,5,c0_large_kettle_L_H.png,210858,387181,50,Man
