,subjID,experimentName,versionName,sequenceName,windowWidth,windowHeight,screenWidth,screenHeight,startDate,startTime,pracTries,trialNum,scene,object,side,gabor,objectCategory,objSceneSemCong,scale,image,presentationSize,keyPress,accuracy,RT,ratingTrialNum,rating,thisRatingTrialFile,experimentTime,totalTime,age,gender
0,686174,Gabor-Discrimination,v2,jsons/s10_odd.json,2048,962,1536,864,2-5-2024,23-55-55,2,0,k7,sponge,R,H,kitchen,1,misscaled,k7_large_sponge_R_H.png,large,c,1,2525,0,7,k7_large_sponge_R_H.png,153276,303512,29,Man
1,686174,Gabor-Discrimination,v2,jsons/s10_odd.json,2048,962,1536,864,2-5-2024,23-55-55,2,1,c9,binderclip,L,V,classroom,1,misscaled,c9_large_binderclip_L_V.png,large,m,1,1380,1,7,c9_large_binderclip_L_V.png,153276,303512,29,Man
2,686174,Gabor-Discrimination,v2,jsons/s10_odd.json,2048,962,1536,864,2-5-2024,23-55-55,2,2,k9,flashdrive,R,V,classroom,0,misscaled,k9_large_flashdrive_R_V.png,large,m,1,1839,2,7,k9_large_flashdrive_R_V.png,153276,303512,29,Man
3,686174,Gabor-Discrimination,v2,jsons/s10_odd.json,2048,962,1536,864,2-5-2024,23-55-55,2,3,c5,notebook,L,H,classroom,1,scaled,c5_large_notebook_L_H.png,large,c,1,1369,3,7,c5_large_notebook_L_H.png,153276,303512,29,Man
4,686174,Gabor-Discrimination,v2,jsons/s10_odd.json,2048,962,1536,864,2-5-2024,23-55-55,2,4,c11,toaster,L,H,kitchen,0,scaled,c11_large_toaster_L_H.png,large,c,1,1252,4,6,c11_large_toaster_L_H.png,153276,303512,29,Man
5,686174,Gabor-Discrimination,v2,jsons/s10_odd.json,2048,962,1536,864,2-5-2024,23-55-55,2,5,c1,laptop,R,H,classroom,1,scaled,c1_large_laptop_R_H.png,large,c,1,934,5,4,c1_large_laptop_R_H.png,153276,303512,29,Man
6,686174,Gabor-Discrimination,v2,jsons/s10_odd.json,2048,962,1536,864,2-5-2024,23-55-55,2,6,c7,pot,L,H,kitchen,0,scaled,c7_large_pot_L_H.png,large,c,1,1323,6,4,c7_large_pot_L_H.png,153276,303512,29,Man
7,686174,Gabor-Discrimination,v2,jsons/s10_odd.json,2048,962,1536,864,2-5-2024,23-55-55,2,7,k3,spoon,R,V,kitchen,1,misscaled,k3_large_spoon_R_V.png,large,m,1,1437,7,6,k3_large_spoon_R_V.png,153276,303512,29,Man
8,686174,Gabor-Discrimination,v2,jsons/s10_odd.json,2048,962,1536,864,2-5-2024,23-55-55,2,8,k1,clipboard,R,V,classroom,0,scaled,k1_large_clipboard_R_V.png,large,m,1,1527,8,6,k1_large_clipboard_R_V.png,153276,303512,29,Man
9,686174,Gabor-Discrimination,v2,jsons/s10_odd.json,2048,962,1536,864,2-5-2024,23-55-55,2,9,c3,kettle,L,V,kitchen,0,scaled,c3_large_kettle_L_V.png,large,m,1,1147,9,4,c3_large_kettle_L_V.png,153276,303512,29,Man
10,686174,Gabor-Discrimination,v2,jsons/s10_odd.json,2048,962,1536,864,2-5-2024,23-55-55,2,10,k5,eraser,R,H,classroom,0,misscaled,k5_large_eraser_R_H.png,large,c,1,782,10,7,k5_large_eraser_R_H.png,153276,303512,29,Man
11,686174,Gabor-Discrimination,v2,jsons/s10_odd.json,2048,962,1536,864,2-5-2024,23-55-55,2,11,k11,saltshaker,L,V,kitchen,1,misscaled,k11_large_saltshaker_L_V.png,large,m,1,1282,11,6,k11_large_saltshaker_L_V.png,153276,303512,29,Man
