,subjID,experimentName,versionName,sequenceName,windowWidth,windowHeight,screenWidth,screenHeight,startDate,startTime,pracTries,trialNum,scene,object,side,gabor,objectCategory,objSceneSemCong,scale,image,presentationSize,keyPress,accuracy,RT,ratingTrialNum,rating,thisRatingTrialFile,experimentTime,totalTime,age,gender
0,457056,Gabor-Discrimination,v2,jsons/s7_odd.json,1920,911,1920,1080,2-5-2024,23-27-4,1,0,c11,eraser,L,H,classroom,1,misscaled,c11_large_eraser_L_H.png,large,m,0,935,0,7,c11_large_eraser_L_H.png,125926,212211,28,Woman
1,457056,Gabor-Discrimination,v2,jsons/s7_odd.json,1920,911,1920,1080,2-5-2024,23-27-4,1,1,k5,saltshaker,L,V,kitchen,1,misscaled,k5_large_saltshaker_L_V.png,large,m,1,1451,1,7,k5_large_saltshaker_L_V.png,125926,212211,28,Woman
2,457056,Gabor-Discrimination,v2,jsons/s7_odd.json,1920,911,1920,1080,2-5-2024,23-27-4,1,2,k9,kettle,L,V,kitchen,1,scaled,k9_large_kettle_L_V.png,large,m,1,912,2,4,k9_large_kettle_L_V.png,125926,212211,28,Woman
3,457056,Gabor-Discrimination,v2,jsons/s7_odd.json,1920,911,1920,1080,2-5-2024,23-27-4,1,3,k3,flashdrive,L,H,classroom,0,misscaled,k3_large_flashdrive_L_H.png,large,c,1,1320,3,7,k3_large_flashdrive_L_H.png,125926,212211,28,Woman
4,457056,Gabor-Discrimination,v2,jsons/s7_odd.json,1920,911,1920,1080,2-5-2024,23-27-4,1,4,k1,sponge,L,V,kitchen,1,misscaled,k1_large_sponge_L_V.png,large,m,1,887,4,7,k1_large_sponge_L_V.png,125926,212211,28,Woman
5,457056,Gabor-Discrimination,v2,jsons/s7_odd.json,1920,911,1920,1080,2-5-2024,23-27-4,1,5,c3,binderclip,R,H,classroom,1,misscaled,c3_large_binderclip_R_H.png,large,c,1,1183,5,7,c3_large_binderclip_R_H.png,125926,212211,28,Woman
6,457056,Gabor-Discrimination,v2,jsons/s7_odd.json,1920,911,1920,1080,2-5-2024,23-27-4,1,6,k7,laptop,R,H,classroom,0,scaled,k7_large_laptop_R_H.png,large,c,1,698,6,4,k7_large_laptop_R_H.png,125926,212211,28,Woman
7,457056,Gabor-Discrimination,v2,jsons/s7_odd.json,1920,911,1920,1080,2-5-2024,23-27-4,1,7,k11,notebook,L,V,classroom,0,scaled,k11_large_notebook_L_V.png,large,m,1,1664,7,5,k11_large_notebook_L_V.png,125926,212211,28,Woman
8,457056,Gabor-Discrimination,v2,jsons/s7_odd.json,1920,911,1920,1080,2-5-2024,23-27-4,1,8,c7,clipboard,R,V,classroom,1,scaled,c7_large_clipboard_R_V.png,large,m,1,1140,8,5,c7_large_clipboard_R_V.png,125926,212211,28,Woman
9,457056,Gabor-Discrimination,v2,jsons/s7_odd.json,1920,911,1920,1080,2-5-2024,23-27-4,1,9,c9,spoon,R,H,kitchen,0,misscaled,c9_large_spoon_R_H.png,large,c,1,1135,9,6,c9_large_spoon_R_H.png,125926,212211,28,Woman
10,457056,Gabor-Discrimination,v2,jsons/s7_odd.json,1920,911,1920,1080,2-5-2024,23-27-4,1,10,c1,pot,R,V,kitchen,0,scaled,c1_large_pot_R_V.png,large,m,1,899,10,4,c1_large_pot_R_V.png,125926,212211,28,Woman
11,457056,Gabor-Discrimination,v2,jsons/s7_odd.json,1920,911,1920,1080,2-5-2024,23-27-4,1,11,c5,toaster,R,H,kitchen,0,scaled,c5_large_toaster_R_H.png,large,c,1,748,11,6,c5_large_toaster_R_H.png,125926,212211,28,Woman
