,subjID,experimentName,versionName,sequenceName,windowWidth,windowHeight,screenWidth,screenHeight,startDate,startTime,pracTries,trialNum,scene,object,side,gabor,objectCategory,objSceneSemCong,scale,image,presentationSize,keyPress,accuracy,RT,ratingTrialNum,rating,thisRatingTrialFile,experimentTime,totalTime,age,gender
0,193768,Gabor-Discrimination,v2,jsons/s5_odd.json,1366,607,1366,768,2-5-2024,20-31-3,1,0,k5,kettle,L,H,kitchen,1,scaled,k5_large_kettle_L_H.png,large,m,0,2976,0,6,k5_large_kettle_L_H.png,174746,264929,24,Man
1,193768,Gabor-Discrimination,v2,jsons/s5_odd.json,1366,607,1366,768,2-5-2024,20-31-3,1,1,k7,notebook,L,H,classroom,0,scaled,k7_large_notebook_L_H.png,large,c,1,3240,1,4,k7_large_notebook_L_H.png,174746,264929,24,Man
2,193768,Gabor-Discrimination,v2,jsons/s5_odd.json,1366,607,1366,768,2-5-2024,20-31-3,1,2,k3,laptop,R,V,classroom,0,scaled,k3_large_laptop_R_V.png,large,c,0,908,2,5,k3_large_laptop_R_V.png,174746,264929,24,Man
3,193768,Gabor-Discrimination,v2,jsons/s5_odd.json,1366,607,1366,768,2-5-2024,20-31-3,1,3,c5,spoon,R,V,kitchen,0,misscaled,c5_large_spoon_R_V.png,large,c,0,1736,3,6,c5_large_spoon_R_V.png,174746,264929,24,Man
4,193768,Gabor-Discrimination,v2,jsons/s5_odd.json,1366,607,1366,768,2-5-2024,20-31-3,1,4,c1,toaster,R,H,kitchen,0,scaled,c1_large_toaster_R_H.png,large,c,1,1931,4,5,c1_large_toaster_R_H.png,174746,264929,24,Man
5,193768,Gabor-Discrimination,v2,jsons/s5_odd.json,1366,607,1366,768,2-5-2024,20-31-3,1,5,c9,sponge,L,H,kitchen,0,misscaled,c9_large_sponge_L_H.png,large,c,1,3737,5,7,c9_large_sponge_L_H.png,174746,264929,24,Man
6,193768,Gabor-Discrimination,v2,jsons/s5_odd.json,1366,607,1366,768,2-5-2024,20-31-3,1,6,k9,pot,L,V,kitchen,1,scaled,k9_large_pot_L_V.png,large,c,0,958,6,4,k9_large_pot_L_V.png,174746,264929,24,Man
7,193768,Gabor-Discrimination,v2,jsons/s5_odd.json,1366,607,1366,768,2-5-2024,20-31-3,1,7,c3,clipboard,R,H,classroom,1,scaled,c3_large_clipboard_R_H.png,large,c,1,1033,7,6,c3_large_clipboard_R_H.png,174746,264929,24,Man
8,193768,Gabor-Discrimination,v2,jsons/s5_odd.json,1366,607,1366,768,2-5-2024,20-31-3,1,8,c7,eraser,R,H,classroom,1,misscaled,c7_large_eraser_R_H.png,large,c,1,834,8,5,c7_large_eraser_R_H.png,174746,264929,24,Man
9,193768,Gabor-Discrimination,v2,jsons/s5_odd.json,1366,607,1366,768,2-5-2024,20-31-3,1,9,k1,saltshaker,L,V,kitchen,1,misscaled,k1_large_saltshaker_L_V.png,large,m,1,527,9,7,k1_large_saltshaker_L_V.png,174746,264929,24,Man
10,193768,Gabor-Discrimination,v2,jsons/s5_odd.json,1366,607,1366,768,2-5-2024,20-31-3,1,10,k11,binderclip,R,V,classroom,0,misscaled,k11_large_binderclip_R_V.png,large,m,1,881,10,7,k11_large_binderclip_R_V.png,174746,264929,24,Man
11,193768,Gabor-Discrimination,v2,jsons/s5_odd.json,1366,607,1366,768,2-5-2024,20-31-3,1,11,c11,flashdrive,L,V,classroom,1,misscaled,c11_large_flashdrive_L_V.png,large,c,0,662,11,7,c11_large_flashdrive_L_V.png,174746,264929,24,Man
