,subjID,experimentName,versionName,sequenceName,windowWidth,windowHeight,screenWidth,screenHeight,startDate,startTime,pracTries,trialNum,scene,object,side,gabor,objectCategory,objSceneSemCong,scale,image,presentationSize,keyPress,accuracy,RT,ratingTrialNum,rating,thisRatingTrialFile,experimentTime,totalTime,age,gender
0,229964,Gabor-Discrimination,v2,jsons/s5_even.json,1536,695,1536,864,2-6-2024,0-54-40,5,0,c0,toaster,L,H,kitchen,0,scaled,c0_large_toaster_L_H.png,large,m,0,2298,0,5,c0_large_toaster_L_H.png,195906,630067,25,Woman
1,229964,Gabor-Discrimination,v2,jsons/s5_even.json,1536,695,1536,864,2-6-2024,0-54-40,5,1,c10,flashdrive,L,H,classroom,1,misscaled,c10_large_flashdrive_L_H.png,large,c,1,2274,1,7,c10_large_flashdrive_L_H.png,195906,630067,25,Woman
2,229964,Gabor-Discrimination,v2,jsons/s5_even.json,1536,695,1536,864,2-6-2024,0-54-40,5,2,k8,pot,L,V,kitchen,1,scaled,k8_large_pot_L_V.png,large,c,0,3222,2,4,k8_large_pot_L_V.png,195906,630067,25,Woman
3,229964,Gabor-Discrimination,v2,jsons/s5_even.json,1536,695,1536,864,2-6-2024,0-54-40,5,3,c2,clipboard,R,H,classroom,1,scaled,c2_large_clipboard_R_H.png,large,m,0,1877,3,5,c2_large_clipboard_R_H.png,195906,630067,25,Woman
4,229964,Gabor-Discrimination,v2,jsons/s5_even.json,1536,695,1536,864,2-6-2024,0-54-40,5,4,k6,notebook,R,V,classroom,0,scaled,k6_large_notebook_R_V.png,large,c,0,998,4,5,k6_large_notebook_R_V.png,195906,630067,25,Woman
5,229964,Gabor-Discrimination,v2,jsons/s5_even.json,1536,695,1536,864,2-6-2024,0-54-40,5,5,k2,laptop,R,V,classroom,0,scaled,k2_large_laptop_R_V.png,large,c,0,1447,5,4,k2_large_laptop_R_V.png,195906,630067,25,Woman
6,229964,Gabor-Discrimination,v2,jsons/s5_even.json,1536,695,1536,864,2-6-2024,0-54-40,5,6,c4,spoon,L,H,kitchen,0,misscaled,c4_large_spoon_L_H.png,large,c,1,1174,6,5,c4_large_spoon_L_H.png,195906,630067,25,Woman
7,229964,Gabor-Discrimination,v2,jsons/s5_even.json,1536,695,1536,864,2-6-2024,0-54-40,5,7,c6,eraser,R,H,classroom,1,misscaled,c6_large_eraser_R_H.png,large,m,0,1071,7,7,c6_large_eraser_R_H.png,195906,630067,25,Woman
8,229964,Gabor-Discrimination,v2,jsons/s5_even.json,1536,695,1536,864,2-6-2024,0-54-40,5,8,k4,kettle,R,H,kitchen,1,scaled,k4_large_kettle_R_H.png,large,c,1,1184,8,7,k4_large_kettle_R_H.png,195906,630067,25,Woman
9,229964,Gabor-Discrimination,v2,jsons/s5_even.json,1536,695,1536,864,2-6-2024,0-54-40,5,9,c8,sponge,R,V,kitchen,0,misscaled,c8_large_sponge_R_V.png,large,c,0,3330,9,7,c8_large_sponge_R_V.png,195906,630067,25,Woman
10,229964,Gabor-Discrimination,v2,jsons/s5_even.json,1536,695,1536,864,2-6-2024,0-54-40,5,10,k0,saltshaker,L,V,kitchen,1,misscaled,k0_large_saltshaker_L_V.png,large,m,1,962,10,7,k0_large_saltshaker_L_V.png,195906,630067,25,Woman
11,229964,Gabor-Discrimination,v2,jsons/s5_even.json,1536,695,1536,864,2-6-2024,0-54-40,5,11,k10,binderclip,L,V,classroom,0,misscaled,k10_large_binderclip_L_V.png,large,c,0,2140,11,7,k10_large_binderclip_L_V.png,195906,630067,25,Woman
