,subjID,experimentName,versionName,sequenceName,windowWidth,windowHeight,screenWidth,screenHeight,startDate,startTime,pracTries,trialNum,scene,object,side,gabor,objectCategory,objSceneSemCong,scale,image,presentationSize,keyPress,accuracy,RT,ratingTrialNum,rating,thisRatingTrialFile,experimentTime,totalTime,age,gender
0,775834,Gabor-Discrimination,v2,jsons/s0_odd.json,1536,730,1536,864,2-6-2024,12-4-35,3,0,c11,pot,L,V,kitchen,0,scaled,c11_large_pot_L_V.png,large,c,0,2066,0,4,c11_large_pot_L_V.png,207642,646806,22,Woman
1,775834,Gabor-Discrimination,v2,jsons/s0_odd.json,1536,730,1536,864,2-6-2024,12-4-35,3,1,k3,toaster,L,V,kitchen,1,scaled,k3_large_toaster_L_V.png,large,m,1,1683,1,5,k3_large_toaster_L_V.png,207642,646806,22,Woman
2,775834,Gabor-Discrimination,v2,jsons/s0_odd.json,1536,730,1536,864,2-6-2024,12-4-35,3,2,k11,sponge,R,H,kitchen,1,misscaled,k11_large_sponge_R_H.png,large,c,1,1024,2,5,k11_large_sponge_R_H.png,207642,646806,22,Woman
3,775834,Gabor-Discrimination,v2,jsons/s0_odd.json,1536,730,1536,864,2-6-2024,12-4-35,3,3,k9,eraser,L,H,classroom,0,misscaled,k9_large_eraser_L_H.png,large,c,1,1206,3,7,k9_large_eraser_L_H.png,207642,646806,22,Woman
4,775834,Gabor-Discrimination,v2,jsons/s0_odd.json,1536,730,1536,864,2-6-2024,12-4-35,3,4,k7,spoon,R,H,kitchen,1,misscaled,k7_large_spoon_R_H.png,large,c,1,1328,4,7,k7_large_spoon_R_H.png,207642,646806,22,Woman
5,775834,Gabor-Discrimination,v2,jsons/s0_odd.json,1536,730,1536,864,2-6-2024,12-4-35,3,5,c7,kettle,L,V,kitchen,0,scaled,c7_large_kettle_L_V.png,large,m,1,1118,5,4,c7_large_kettle_L_V.png,207642,646806,22,Woman
6,775834,Gabor-Discrimination,v2,jsons/s0_odd.json,1536,730,1536,864,2-6-2024,12-4-35,3,6,c9,notebook,R,H,classroom,1,scaled,c9_large_notebook_R_H.png,large,c,1,1036,6,5,c9_large_notebook_R_H.png,207642,646806,22,Woman
7,775834,Gabor-Discrimination,v2,jsons/s0_odd.json,1536,730,1536,864,2-6-2024,12-4-35,3,7,c3,saltshaker,L,H,kitchen,0,misscaled,c3_large_saltshaker_L_H.png,large,m,0,871,7,7,c3_large_saltshaker_L_H.png,207642,646806,22,Woman
8,775834,Gabor-Discrimination,v2,jsons/s0_odd.json,1536,730,1536,864,2-6-2024,12-4-35,3,8,c5,laptop,L,V,classroom,1,scaled,c5_large_laptop_L_V.png,large,m,1,1827,8,4,c5_large_laptop_L_V.png,207642,646806,22,Woman
9,775834,Gabor-Discrimination,v2,jsons/s0_odd.json,1536,730,1536,864,2-6-2024,12-4-35,3,9,k1,binderclip,R,V,classroom,0,misscaled,k1_large_binderclip_R_V.png,large,m,1,1555,9,7,k1_large_binderclip_R_V.png,207642,646806,22,Woman
10,775834,Gabor-Discrimination,v2,jsons/s0_odd.json,1536,730,1536,864,2-6-2024,12-4-35,3,10,c1,flashdrive,R,H,classroom,1,misscaled,c1_large_flashdrive_R_H.png,large,c,1,909,10,7,c1_large_flashdrive_R_H.png,207642,646806,22,Woman
11,775834,Gabor-Discrimination,v2,jsons/s0_odd.json,1536,730,1536,864,2-6-2024,12-4-35,3,11,k5,clipboard,R,V,classroom,0,scaled,k5_large_clipboard_R_V.png,large,m,1,1242,11,6,k5_large_clipboard_R_V.png,207642,646806,22,Woman
