,subjID,experimentName,versionName,sequenceName,windowWidth,windowHeight,screenWidth,screenHeight,startDate,startTime,pracTries,trialNum,scene,object,side,objectCategory,objSceneSemCong,scale,image,presentationSize,keyPress,accuracy,RT,ratingTrialNum,rating,thisRatingTrialFile,experimentTime,totalTime,age,gender
0,695157,OSSe5,v2,jsons/s20.json,1366,625,1366,768,9-3-2023,11-19-42,1,0,k2,notebook,L,classroom,0,misscaled,k2_small_notebook_L.png,small,c,1,1858,0,2,k2_small_notebook_L.png,515120,620197,25,Man
1,695157,OSSe5,v2,jsons/s20.json,1366,625,1366,768,9-3-2023,11-19-42,1,1,c10,eraser,L,classroom,1,scaled,c10_small_eraser_L.png,small,c,1,1200,1,5,c10_small_eraser_L.png,515120,620197,25,Man
2,695157,OSSe5,v2,jsons/s20.json,1366,625,1366,768,9-3-2023,11-19-42,1,2,k6,spoon,L,kitchen,1,scaled,k6_small_spoon_L.png,small,c,1,1595,2,4,k6_small_spoon_L.png,515120,620197,25,Man
3,695157,OSSe5,v2,jsons/s20.json,1366,625,1366,768,9-3-2023,11-19-42,1,3,k10,eraser,L,classroom,0,misscaled,k10_large_eraser_L.png,large,c,1,1466,3,6,k10_large_eraser_L.png,515120,620197,25,Man
4,695157,OSSe5,v2,jsons/s20.json,1366,625,1366,768,9-3-2023,11-19-42,1,4,c7,toaster,L,kitchen,0,scaled,c7_large_toaster_L.png,large,c,1,2258,4,4,c7_large_toaster_L.png,515120,620197,25,Man
5,695157,OSSe5,v2,jsons/s20.json,1366,625,1366,768,9-3-2023,11-19-42,1,5,k7,toaster,L,kitchen,1,misscaled,k7_small_toaster_L.png,small,c,1,1194,5,2,k7_small_toaster_L.png,515120,620197,25,Man
6,695157,OSSe5,v2,jsons/s20.json,1366,625,1366,768,9-3-2023,11-19-42,1,6,c2,notebook,L,classroom,1,scaled,c2_large_notebook_L.png,large,c,1,1138,6,6,c2_large_notebook_L.png,515120,620197,25,Man
7,695157,OSSe5,v2,jsons/s20.json,1366,625,1366,768,9-3-2023,11-19-42,1,7,c0,kettle,R,kitchen,0,scaled,c0_large_kettle_R.png,large,m,1,1074,7,4,c0_large_kettle_R.png,515120,620197,25,Man
8,695157,OSSe5,v2,jsons/s20.json,1366,625,1366,768,9-3-2023,11-19-42,1,8,c6,spoon,R,kitchen,0,misscaled,c6_large_spoon_R.png,large,m,1,1346,8,5,c6_large_spoon_R.png,515120,620197,25,Man
9,695157,OSSe5,v2,jsons/s20.json,1366,625,1366,768,9-3-2023,11-19-42,1,9,c4,saltshaker,R,kitchen,0,misscaled,c4_large_saltshaker_R.png,large,m,1,1539,9,4,c4_large_saltshaker_R.png,515120,620197,25,Man
10,695157,OSSe5,v2,jsons/s20.json,1366,625,1366,768,9-3-2023,11-19-42,1,10,c5,sponge,R,kitchen,0,misscaled,c5_large_sponge_R.png,large,m,1,1369,10,6,c5_large_sponge_R.png,515120,620197,25,Man
11,695157,OSSe5,v2,jsons/s20.json,1366,625,1366,768,9-3-2023,11-19-42,1,11,k1,laptop,R,classroom,0,misscaled,k1_small_laptop_R.png,small,m,1,1299,11,2,k1_small_laptop_R.png,515120,620197,25,Man
12,695157,OSSe5,v2,jsons/s20.json,1366,625,1366,768,9-3-2023,11-19-42,1,12,c11,flashdrive,R,classroom,1,scaled,c11_small_flashdrive_R.png,small,m,1,1657,12,4,c11_small_flashdrive_R.png,515120,620197,25,Man
13,695157,OSSe5,v2,jsons/s20.json,1366,625,1366,768,9-3-2023,11-19-42,1,13,k8,binderclip,L,classroom,0,misscaled,k8_large_binderclip_L.png,large,c,1,1050,13,7,k8_large_binderclip_L.png,515120,620197,25,Man
14,695157,OSSe5,v2,jsons/s20.json,1366,625,1366,768,9-3-2023,11-19-42,1,14,k11,flashdrive,R,classroom,0,misscaled,k11_large_flashdrive_R.png,large,m,1,1123,14,7,k11_large_flashdrive_R.png,515120,620197,25,Man
15,695157,OSSe5,v2,jsons/s20.json,1366,625,1366,768,9-3-2023,11-19-42,1,15,c1,laptop,R,classroom,1,scaled,c1_large_laptop_R.png,large,m,1,987,15,4,c1_large_laptop_R.png,515120,620197,25,Man
16,695157,OSSe5,v2,jsons/s20.json,1366,625,1366,768,9-3-2023,11-19-42,1,16,c9,clipboard,R,classroom,1,misscaled,c9_small_clipboard_R.png,small,m,1,1547,16,2,c9_small_clipboard_R.png,515120,620197,25,Man
17,695157,OSSe5,v2,jsons/s20.json,1366,625,1366,768,9-3-2023,11-19-42,1,17,k3,pot,R,kitchen,1,misscaled,k3_small_pot_R.png,small,m,1,1387,17,3,k3_small_pot_R.png,515120,620197,25,Man
18,695157,OSSe5,v2,jsons/s20.json,1366,625,1366,768,9-3-2023,11-19-42,1,18,c8,binderclip,L,classroom,1,scaled,c8_small_binderclip_L.png,small,c,1,1281,18,5,c8_small_binderclip_L.png,515120,620197,25,Man
19,695157,OSSe5,v2,jsons/s20.json,1366,625,1366,768,9-3-2023,11-19-42,1,19,k0,kettle,L,kitchen,1,misscaled,k0_small_kettle_L.png,small,c,1,1347,19,2,k0_small_kettle_L.png,515120,620197,25,Man
20,695157,OSSe5,v2,jsons/s20.json,1366,625,1366,768,9-3-2023,11-19-42,1,20,k5,sponge,R,kitchen,1,scaled,k5_small_sponge_R.png,small,m,1,1418,20,4,k5_small_sponge_R.png,515120,620197,25,Man
21,695157,OSSe5,v2,jsons/s20.json,1366,625,1366,768,9-3-2023,11-19-42,1,21,k9,clipboard,L,classroom,0,scaled,k9_large_clipboard_L.png,large,c,1,995,21,5,k9_large_clipboard_L.png,515120,620197,25,Man
22,695157,OSSe5,v2,jsons/s20.json,1366,625,1366,768,9-3-2023,11-19-42,1,22,c3,pot,R,kitchen,0,scaled,c3_large_pot_R.png,large,m,1,986,22,4,c3_large_pot_R.png,515120,620197,25,Man
23,695157,OSSe5,v2,jsons/s20.json,1366,625,1366,768,9-3-2023,11-19-42,1,23,k4,saltshaker,L,kitchen,1,scaled,k4_small_saltshaker_L.png,small,c,1,1610,23,2,k4_small_saltshaker_L.png,515120,620197,25,Man
