,subjID,experimentName,versionName,sequenceName,windowWidth,windowHeight,screenWidth,screenHeight,startDate,startTime,pracTries,trialNum,scene,object,side,objectCategory,objSceneSemCong,scale,image,presentationSize,keyPress,accuracy,RT,ratingTrialNum,rating,thisRatingTrialFile,experimentTime,totalTime,age,gender
0,829542,OSSe5,v2,jsons/s18.json,1366,651,1366,768,9-2-2023,10-58-3,1,0,k4,spoon,L,kitchen,1,scaled,k4_small_spoon_L.png,small,c,1,2799,0,4,k4_small_spoon_L.png,320419,525205,1990,Woman
1,829542,OSSe5,v2,jsons/s18.json,1366,651,1366,768,9-2-2023,10-58-3,1,1,c4,spoon,R,kitchen,0,misscaled,c4_large_spoon_R.png,large,m,1,2928,1,6,c4_large_spoon_R.png,320419,525205,1990,Woman
2,829542,OSSe5,v2,jsons/s18.json,1366,651,1366,768,9-2-2023,10-58-3,1,2,c1,pot,L,kitchen,0,scaled,c1_large_pot_L.png,large,c,1,1209,2,4,c1_large_pot_L.png,320419,525205,1990,Woman
3,829542,OSSe5,v2,jsons/s18.json,1366,651,1366,768,9-2-2023,10-58-3,1,3,c9,flashdrive,L,classroom,1,scaled,c9_small_flashdrive_L.png,small,c,1,1360,3,4,c9_small_flashdrive_L.png,320419,525205,1990,Woman
4,829542,OSSe5,v2,jsons/s18.json,1366,651,1366,768,9-2-2023,10-58-3,1,4,k7,clipboard,L,classroom,0,scaled,k7_large_clipboard_L.png,large,c,1,1331,4,5,k7_large_clipboard_L.png,320419,525205,1990,Woman
5,829542,OSSe5,v2,jsons/s18.json,1366,651,1366,768,9-2-2023,10-58-3,1,5,c0,notebook,L,classroom,1,scaled,c0_large_notebook_L.png,large,c,1,1253,5,4,c0_large_notebook_L.png,320419,525205,1990,Woman
6,829542,OSSe5,v2,jsons/s18.json,1366,651,1366,768,9-2-2023,10-58-3,1,6,c2,saltshaker,R,kitchen,0,misscaled,c2_large_saltshaker_R.png,large,m,1,1088,6,6,c2_large_saltshaker_R.png,320419,525205,1990,Woman
7,829542,OSSe5,v2,jsons/s18.json,1366,651,1366,768,9-2-2023,10-58-3,1,7,c7,clipboard,R,classroom,1,misscaled,c7_small_clipboard_R.png,small,m,1,2640,7,4,c7_small_clipboard_R.png,320419,525205,1990,Woman
8,829542,OSSe5,v2,jsons/s18.json,1366,651,1366,768,9-2-2023,10-58-3,1,8,c11,laptop,R,classroom,1,misscaled,c11_small_laptop_R.png,small,m,1,1497,8,3,c11_small_laptop_R.png,320419,525205,1990,Woman
9,829542,OSSe5,v2,jsons/s18.json,1366,651,1366,768,9-2-2023,10-58-3,1,9,k0,notebook,R,classroom,0,misscaled,k0_small_notebook_R.png,small,m,1,1179,9,4,k0_small_notebook_R.png,320419,525205,1990,Woman
10,829542,OSSe5,v2,jsons/s18.json,1366,651,1366,768,9-2-2023,10-58-3,1,10,c8,eraser,L,classroom,1,scaled,c8_small_eraser_L.png,small,c,1,1519,10,3,c8_small_eraser_L.png,320419,525205,1990,Woman
11,829542,OSSe5,v2,jsons/s18.json,1366,651,1366,768,9-2-2023,10-58-3,1,11,c6,binderclip,L,classroom,1,scaled,c6_small_binderclip_L.png,small,c,1,1279,11,4,c6_small_binderclip_L.png,320419,525205,1990,Woman
12,829542,OSSe5,v2,jsons/s18.json,1366,651,1366,768,9-2-2023,10-58-3,1,12,k11,laptop,R,classroom,0,scaled,k11_large_laptop_R.png,large,m,1,1258,12,4,k11_large_laptop_R.png,320419,525205,1990,Woman
13,829542,OSSe5,v2,jsons/s18.json,1366,651,1366,768,9-2-2023,10-58-3,1,13,c5,toaster,L,kitchen,0,scaled,c5_large_toaster_L.png,large,c,1,1308,13,6,c5_large_toaster_L.png,320419,525205,1990,Woman
