,subjID,experimentName,versionName,sequenceName,windowWidth,windowHeight,screenWidth,screenHeight,startDate,startTime,pracTries,trialNum,scene,object,side,objectCategory,objSceneSemCong,scale,image,presentationSize,keyPress,accuracy,RT,ratingTrialNum,rating,thisRatingTrialFile,experimentTime,totalTime,age,gender
0,638680,OSSe5,v2,jsons/s4.json,1231,564,1248,681,9-2-2023,11-3-16,1,0,c0,saltshaker,R,kitchen,0,scaled,c0_small_saltshaker_R.png,small,m,1,2227,0,2,c0_small_saltshaker_R.png,314826,512679,49,Woman
1,638680,OSSe5,v2,jsons/s4.json,1231,564,1248,681,9-2-2023,11-3-16,1,1,c4,binderclip,L,classroom,1,misscaled,c4_large_binderclip_L.png,large,c,1,2454,1,4,c4_large_binderclip_L.png,314826,512679,49,Woman
2,638680,OSSe5,v2,jsons/s4.json,1231,564,1248,681,9-2-2023,11-3-16,1,2,k1,sponge,L,kitchen,1,misscaled,k1_large_sponge_L.png,large,c,1,2043,2,4,k1_large_sponge_L.png,314826,512679,49,Woman
3,638680,OSSe5,v2,jsons/s4.json,1231,564,1248,681,9-2-2023,11-3-16,1,3,c6,eraser,L,classroom,1,misscaled,c6_large_eraser_L.png,large,c,1,2164,3,3,c6_large_eraser_L.png,314826,512679,49,Woman
4,638680,OSSe5,v2,jsons/s4.json,1231,564,1248,681,9-2-2023,11-3-16,1,4,c5,clipboard,L,classroom,1,scaled,c5_large_clipboard_L.png,large,c,1,2125,4,5,c5_large_clipboard_L.png,314826,512679,49,Woman
5,638680,OSSe5,v2,jsons/s4.json,1231,564,1248,681,9-2-2023,11-3-16,1,5,k2,spoon,L,kitchen,1,misscaled,k2_large_spoon_L.png,large,c,1,2546,5,4,k2_large_spoon_L.png,314826,512679,49,Woman
6,638680,OSSe5,v2,jsons/s4.json,1231,564,1248,681,9-2-2023,11-3-16,1,6,k4,binderclip,R,classroom,0,scaled,k4_small_binderclip_R.png,small,m,1,2748,6,3,k4_small_binderclip_R.png,314826,512679,49,Woman
7,638680,OSSe5,v2,jsons/s4.json,1231,564,1248,681,9-2-2023,11-3-16,1,7,k11,pot,R,kitchen,1,misscaled,k11_small_pot_R.png,small,m,1,2518,7,2,k11_small_pot_R.png,314826,512679,49,Woman
8,638680,OSSe5,v2,jsons/s4.json,1231,564,1248,681,9-2-2023,11-3-16,1,8,k7,flashdrive,R,classroom,0,scaled,k7_small_flashdrive_R.png,small,m,1,3983,8,2,k7_small_flashdrive_R.png,314826,512679,49,Woman
9,638680,OSSe5,v2,jsons/s4.json,1231,564,1248,681,9-2-2023,11-3-16,1,9,k0,saltshaker,R,kitchen,1,misscaled,k0_large_saltshaker_R.png,large,m,1,2248,9,4,k0_large_saltshaker_R.png,314826,512679,49,Woman
10,638680,OSSe5,v2,jsons/s4.json,1231,564,1248,681,9-2-2023,11-3-16,1,10,c3,toaster,R,kitchen,0,misscaled,c3_small_toaster_R.png,small,m,1,1902,10,3,c3_small_toaster_R.png,314826,512679,49,Woman
11,638680,OSSe5,v2,jsons/s4.json,1231,564,1248,681,9-2-2023,11-3-16,1,11,c7,flashdrive,L,classroom,1,misscaled,c7_large_flashdrive_L.png,large,c,1,3104,11,4,c7_large_flashdrive_L.png,314826,512679,49,Woman
12,638680,OSSe5,v2,jsons/s4.json,1231,564,1248,681,9-2-2023,11-3-16,1,12,c10,notebook,L,classroom,1,scaled,c10_large_notebook_L.png,large,c,1,2040,12,5,c10_large_notebook_L.png,314826,512679,49,Woman
13,638680,OSSe5,v2,jsons/s4.json,1231,564,1248,681,9-2-2023,11-3-16,1,13,c8,kettle,R,kitchen,0,scaled,c8_large_kettle_R.png,large,m,1,2799,13,4,c8_large_kettle_R.png,314826,512679,49,Woman
14,638680,OSSe5,v2,jsons/s4.json,1231,564,1248,681,9-2-2023,11-3-16,1,14,k8,kettle,R,kitchen,1,misscaled,k8_small_kettle_R.png,small,m,1,1495,14,2,k8_small_kettle_R.png,314826,512679,49,Woman
15,638680,OSSe5,v2,jsons/s4.json,1231,564,1248,681,9-2-2023,11-3-16,1,15,k6,eraser,L,classroom,0,scaled,k6_small_eraser_L.png,small,c,1,1203,15,2,k6_small_eraser_L.png,314826,512679,49,Woman
16,638680,OSSe5,v2,jsons/s4.json,1231,564,1248,681,9-2-2023,11-3-16,1,16,c2,spoon,L,kitchen,0,scaled,c2_small_spoon_L.png,small,c,1,1986,16,3,c2_small_spoon_L.png,314826,512679,49,Woman
17,638680,OSSe5,v2,jsons/s4.json,1231,564,1248,681,9-2-2023,11-3-16,1,17,c1,sponge,L,kitchen,0,scaled,c1_small_sponge_L.png,small,m,0,1296,17,2,c1_small_sponge_L.png,314826,512679,49,Woman
18,638680,OSSe5,v2,jsons/s4.json,1231,564,1248,681,9-2-2023,11-3-16,1,18,c9,laptop,L,classroom,1,scaled,c9_large_laptop_L.png,large,c,1,1260,18,4,c9_large_laptop_L.png,314826,512679,49,Woman
19,638680,OSSe5,v2,jsons/s4.json,1231,564,1248,681,9-2-2023,11-3-16,1,19,c11,pot,R,kitchen,0,scaled,c11_large_pot_R.png,large,m,1,1391,19,4,c11_large_pot_R.png,314826,512679,49,Woman
20,638680,OSSe5,v2,jsons/s4.json,1231,564,1248,681,9-2-2023,11-3-16,1,20,k5,clipboard,R,classroom,0,misscaled,k5_small_clipboard_R.png,small,m,1,1416,20,3,k5_small_clipboard_R.png,314826,512679,49,Woman
21,638680,OSSe5,v2,jsons/s4.json,1231,564,1248,681,9-2-2023,11-3-16,1,21,k3,toaster,R,kitchen,1,scaled,k3_large_toaster_R.png,large,m,1,1993,21,5,k3_large_toaster_R.png,314826,512679,49,Woman
22,638680,OSSe5,v2,jsons/s4.json,1231,564,1248,681,9-2-2023,11-3-16,1,22,k9,laptop,L,classroom,0,misscaled,k9_small_laptop_L.png,small,c,1,1597,22,2,k9_small_laptop_L.png,314826,512679,49,Woman
23,638680,OSSe5,v2,jsons/s4.json,1231,564,1248,681,9-2-2023,11-3-16,1,23,k10,notebook,R,classroom,0,misscaled,k10_small_notebook_R.png,small,m,1,1228,23,3,k10_small_notebook_R.png,314826,512679,49,Woman
