,subjID,experimentName,versionName,sequenceName,windowWidth,windowHeight,screenWidth,screenHeight,startDate,startTime,pracTries,trialNum,scene,object,side,objectCategory,objSceneSemCong,scale,image,presentationSize,keyPress,accuracy,RT,ratingTrialNum,rating,thisRatingTrialFile,experimentTime,totalTime,age,gender
0,941404,OSSe5,v2,jsons/s18.json,1920,963,1920,1080,9-2-2023,12-33-14,2,0,k4,spoon,L,kitchen,1,scaled,k4_small_spoon_L.png,small,c,1,1585,0,3,k4_small_spoon_L.png,222178,999810,35,Man
1,941404,OSSe5,v2,jsons/s18.json,1920,963,1920,1080,9-2-2023,12-33-14,2,1,c4,spoon,R,kitchen,0,misscaled,c4_large_spoon_R.png,large,c,0,2234,1,6,c4_large_spoon_R.png,222178,999810,35,Man
2,941404,OSSe5,v2,jsons/s18.json,1920,963,1920,1080,9-2-2023,12-33-14,2,2,c1,pot,L,kitchen,0,scaled,c1_large_pot_L.png,large,m,0,1585,2,4,c1_large_pot_L.png,222178,999810,35,Man
3,941404,OSSe5,v2,jsons/s18.json,1920,963,1920,1080,9-2-2023,12-33-14,2,3,c9,flashdrive,L,classroom,1,scaled,c9_small_flashdrive_L.png,small,c,1,1218,3,6,c9_small_flashdrive_L.png,222178,999810,35,Man
4,941404,OSSe5,v2,jsons/s18.json,1920,963,1920,1080,9-2-2023,12-33-14,2,4,k7,clipboard,R,classroom,0,scaled,k7_large_clipboard_R.png,large,c,0,1011,4,3,k7_large_clipboard_R.png,222178,999810,35,Man
5,941404,OSSe5,v2,jsons/s18.json,1920,963,1920,1080,9-2-2023,12-33-14,2,5,c0,notebook,L,classroom,1,scaled,c0_large_notebook_L.png,large,c,1,948,5,6,c0_large_notebook_L.png,222178,999810,35,Man
6,941404,OSSe5,v2,jsons/s18.json,1920,963,1920,1080,9-2-2023,12-33-14,2,6,c2,saltshaker,R,kitchen,0,misscaled,c2_large_saltshaker_R.png,large,m,1,1576,6,2,c2_large_saltshaker_R.png,222178,999810,35,Man
7,941404,OSSe5,v2,jsons/s18.json,1920,963,1920,1080,9-2-2023,12-33-14,2,7,c7,clipboard,R,classroom,1,misscaled,c7_small_clipboard_R.png,small,c,0,1732,7,4,c7_small_clipboard_R.png,222178,999810,35,Man
8,941404,OSSe5,v2,jsons/s18.json,1920,963,1920,1080,9-2-2023,12-33-14,2,8,c11,laptop,R,classroom,1,misscaled,c11_small_laptop_R.png,small,c,0,1288,8,6,c11_small_laptop_R.png,222178,999810,35,Man
9,941404,OSSe5,v2,jsons/s18.json,1920,963,1920,1080,9-2-2023,12-33-14,2,9,k0,notebook,L,classroom,0,misscaled,k0_small_notebook_L.png,small,m,0,1219,9,5,k0_small_notebook_L.png,222178,999810,35,Man
10,941404,OSSe5,v2,jsons/s18.json,1920,963,1920,1080,9-2-2023,12-33-14,2,10,c8,eraser,L,classroom,1,scaled,c8_small_eraser_L.png,small,c,1,1476,10,3,c8_small_eraser_L.png,222178,999810,35,Man
11,941404,OSSe5,v2,jsons/s18.json,1920,963,1920,1080,9-2-2023,12-33-14,2,11,c6,binderclip,R,classroom,1,scaled,c6_small_binderclip_R.png,small,c,0,1416,11,6,c6_small_binderclip_R.png,222178,999810,35,Man
12,941404,OSSe5,v2,jsons/s18.json,1920,963,1920,1080,9-2-2023,12-33-14,2,12,k11,laptop,L,classroom,0,scaled,k11_large_laptop_L.png,large,m,0,1267,12,4,k11_large_laptop_L.png,222178,999810,35,Man
13,941404,OSSe5,v2,jsons/s18.json,1920,963,1920,1080,9-2-2023,12-33-14,2,13,c5,toaster,R,kitchen,0,scaled,c5_large_toaster_R.png,large,c,0,898,13,3,c5_large_toaster_R.png,222178,999810,35,Man
14,941404,OSSe5,v2,jsons/s18.json,1920,963,1920,1080,9-2-2023,12-33-14,2,14,k9,flashdrive,L,classroom,0,misscaled,k9_large_flashdrive_L.png,large,c,1,1130,14,5,k9_large_flashdrive_L.png,222178,999810,35,Man
15,941404,OSSe5,v2,jsons/s18.json,1920,963,1920,1080,9-2-2023,12-33-14,2,15,k10,kettle,L,kitchen,1,scaled,k10_large_kettle_L.png,large,c,1,947,15,6,k10_large_kettle_L.png,222178,999810,35,Man
16,941404,OSSe5,v2,jsons/s18.json,1920,963,1920,1080,9-2-2023,12-33-14,2,16,k8,eraser,L,classroom,0,misscaled,k8_large_eraser_L.png,large,c,1,1057,16,3,k8_large_eraser_L.png,222178,999810,35,Man
17,941404,OSSe5,v2,jsons/s18.json,1920,963,1920,1080,9-2-2023,12-33-14,2,17,c3,sponge,R,kitchen,0,misscaled,c3_large_sponge_R.png,large,c,0,979,17,5,c3_large_sponge_R.png,222178,999810,35,Man
18,941404,OSSe5,v2,jsons/s18.json,1920,963,1920,1080,9-2-2023,12-33-14,2,18,k3,sponge,R,kitchen,1,scaled,k3_small_sponge_R.png,small,c,0,1153,18,6,k3_small_sponge_R.png,222178,999810,35,Man
19,941404,OSSe5,v2,jsons/s18.json,1920,963,1920,1080,9-2-2023,12-33-14,2,19,k2,saltshaker,R,kitchen,1,scaled,k2_small_saltshaker_R.png,small,c,0,1316,19,2,k2_small_saltshaker_R.png,222178,999810,35,Man
20,941404,OSSe5,v2,jsons/s18.json,1920,963,1920,1080,9-2-2023,12-33-14,2,20,k5,toaster,R,kitchen,1,misscaled,k5_small_toaster_R.png,small,c,0,1105,20,4,k5_small_toaster_R.png,222178,999810,35,Man
21,941404,OSSe5,v2,jsons/s18.json,1920,963,1920,1080,9-2-2023,12-33-14,2,21,k6,binderclip,L,classroom,0,misscaled,k6_large_binderclip_L.png,large,m,0,1561,21,6,k6_large_binderclip_L.png,222178,999810,35,Man
22,941404,OSSe5,v2,jsons/s18.json,1920,963,1920,1080,9-2-2023,12-33-14,2,22,c10,kettle,R,kitchen,0,misscaled,c10_small_kettle_R.png,small,c,0,1315,22,2,c10_small_kettle_R.png,222178,999810,35,Man
23,941404,OSSe5,v2,jsons/s18.json,1920,963,1920,1080,9-2-2023,12-33-14,2,23,k1,pot,L,kitchen,1,misscaled,k1_small_pot_L.png,small,m,0,2514,23,4,k1_small_pot_L.png,222178,999810,35,Man
