,subjID,experimentName,versionName,sequenceName,windowWidth,windowHeight,screenWidth,screenHeight,startDate,startTime,pracTries,trialNum,scene,object,side,objectCategory,objSceneSemCong,scale,image,presentationSize,keyPress,accuracy,RT,ratingTrialNum,rating,thisRatingTrialFile,experimentTime,totalTime,age,gender
0,591182,OSSe5,v2,jsons/s2.json,1366,651,1366,768,9-2-2023,10-55-19,2,0,c3,clipboard,L,classroom,1,scaled,c3_large_clipboard_L.png,large,c,1,2725,0,4,c3_large_clipboard_L.png,332525,595427,36,Man
1,591182,OSSe5,v2,jsons/s2.json,1366,651,1366,768,9-2-2023,10-55-19,2,1,k7,laptop,L,classroom,0,misscaled,k7_small_laptop_L.png,small,c,1,1380,1,1,k7_small_laptop_L.png,332525,595427,36,Man
2,591182,OSSe5,v2,jsons/s2.json,1366,651,1366,768,9-2-2023,10-55-19,2,2,c1,toaster,R,kitchen,0,misscaled,c1_small_toaster_R.png,small,m,1,1354,2,2,c1_small_toaster_R.png,332525,595427,36,Man
3,591182,OSSe5,v2,jsons/s2.json,1366,651,1366,768,9-2-2023,10-55-19,2,3,k11,sponge,R,kitchen,1,scaled,k11_small_sponge_R.png,small,m,1,1968,3,3,k11_small_sponge_R.png,332525,595427,36,Man
4,591182,OSSe5,v2,jsons/s2.json,1366,651,1366,768,9-2-2023,10-55-19,2,4,k0,spoon,L,kitchen,1,misscaled,k0_large_spoon_L.png,large,c,1,1946,4,6,k0_large_spoon_L.png,332525,595427,36,Man
5,591182,OSSe5,v2,jsons/s2.json,1366,651,1366,768,9-2-2023,10-55-19,2,5,c6,kettle,R,kitchen,0,scaled,c6_large_kettle_R.png,large,m,1,2310,5,5,c6_large_kettle_R.png,332525,595427,36,Man
6,591182,OSSe5,v2,jsons/s2.json,1366,651,1366,768,9-2-2023,10-55-19,2,6,k8,notebook,R,classroom,0,misscaled,k8_small_notebook_R.png,small,m,1,2018,6,3,k8_small_notebook_R.png,332525,595427,36,Man
7,591182,OSSe5,v2,jsons/s2.json,1366,651,1366,768,9-2-2023,10-55-19,2,7,k9,pot,R,kitchen,1,misscaled,k9_small_pot_R.png,small,m,1,1331,7,2,k9_small_pot_R.png,332525,595427,36,Man
8,591182,OSSe5,v2,jsons/s2.json,1366,651,1366,768,9-2-2023,10-55-19,2,8,k5,flashdrive,R,classroom,0,scaled,k5_small_flashdrive_R.png,small,m,1,1980,8,1,k5_small_flashdrive_R.png,332525,595427,36,Man
9,591182,OSSe5,v2,jsons/s2.json,1366,651,1366,768,9-2-2023,10-55-19,2,9,c11,sponge,L,kitchen,0,misscaled,c11_large_sponge_L.png,large,c,1,2236,9,7,c11_large_sponge_L.png,332525,595427,36,Man
10,591182,OSSe5,v2,jsons/s2.json,1366,651,1366,768,9-2-2023,10-55-19,2,10,c0,spoon,L,kitchen,0,scaled,c0_small_spoon_L.png,small,c,1,2077,10,2,c0_small_spoon_L.png,332525,595427,36,Man
11,591182,OSSe5,v2,jsons/s2.json,1366,651,1366,768,9-2-2023,10-55-19,2,11,c5,flashdrive,R,classroom,1,misscaled,c5_large_flashdrive_R.png,large,m,1,2286,11,7,c5_large_flashdrive_R.png,332525,595427,36,Man
12,591182,OSSe5,v2,jsons/s2.json,1366,651,1366,768,9-2-2023,10-55-19,2,12,k2,binderclip,R,classroom,0,scaled,k2_small_binderclip_R.png,small,m,1,1802,12,4,k2_small_binderclip_R.png,332525,595427,36,Man
13,591182,OSSe5,v2,jsons/s2.json,1366,651,1366,768,9-2-2023,10-55-19,2,13,c8,notebook,R,classroom,1,scaled,c8_large_notebook_R.png,large,m,1,2016,13,3,c8_large_notebook_R.png,332525,595427,36,Man
14,591182,OSSe5,v2,jsons/s2.json,1366,651,1366,768,9-2-2023,10-55-19,2,14,c9,pot,L,kitchen,0,scaled,c9_large_pot_L.png,large,c,1,2614,14,3,c9_large_pot_L.png,332525,595427,36,Man
15,591182,OSSe5,v2,jsons/s2.json,1366,651,1366,768,9-2-2023,10-55-19,2,15,c4,eraser,R,classroom,1,misscaled,c4_large_eraser_R.png,large,m,1,971,15,7,c4_large_eraser_R.png,332525,595427,36,Man
16,591182,OSSe5,v2,jsons/s2.json,1366,651,1366,768,9-2-2023,10-55-19,2,16,k4,eraser,L,classroom,0,scaled,k4_small_eraser_L.png,small,c,1,2466,16,1,k4_small_eraser_L.png,332525,595427,36,Man
17,591182,OSSe5,v2,jsons/s2.json,1366,651,1366,768,9-2-2023,10-55-19,2,17,c10,saltshaker,L,kitchen,0,misscaled,c10_large_saltshaker_L.png,large,c,1,1526,17,4,c10_large_saltshaker_L.png,332525,595427,36,Man
18,591182,OSSe5,v2,jsons/s2.json,1366,651,1366,768,9-2-2023,10-55-19,2,18,k1,toaster,L,kitchen,1,scaled,k1_large_toaster_L.png,large,c,1,1106,18,4,k1_large_toaster_L.png,332525,595427,36,Man
19,591182,OSSe5,v2,jsons/s2.json,1366,651,1366,768,9-2-2023,10-55-19,2,19,c2,binderclip,R,classroom,1,misscaled,c2_large_binderclip_R.png,large,m,1,2510,19,6,c2_large_binderclip_R.png,332525,595427,36,Man
20,591182,OSSe5,v2,jsons/s2.json,1366,651,1366,768,9-2-2023,10-55-19,2,20,k3,clipboard,L,classroom,0,misscaled,k3_small_clipboard_L.png,small,c,1,2534,20,1,k3_small_clipboard_L.png,332525,595427,36,Man
21,591182,OSSe5,v2,jsons/s2.json,1366,651,1366,768,9-2-2023,10-55-19,2,21,k6,kettle,L,kitchen,1,misscaled,k6_small_kettle_L.png,small,c,1,3037,21,2,k6_small_kettle_L.png,332525,595427,36,Man
22,591182,OSSe5,v2,jsons/s2.json,1366,651,1366,768,9-2-2023,10-55-19,2,22,k10,saltshaker,L,kitchen,1,scaled,k10_small_saltshaker_L.png,small,c,1,4900,22,1,k10_small_saltshaker_L.png,332525,595427,36,Man
23,591182,OSSe5,v2,jsons/s2.json,1366,651,1366,768,9-2-2023,10-55-19,2,23,c7,laptop,R,classroom,1,scaled,c7_large_laptop_R.png,large,m,1,1689,23,4,c7_large_laptop_R.png,332525,595427,36,Man
